created_at,field1,field2,field3,field4,field5,field6,field7,field8
2025-10-17T17:36:00,ham,bottled water,soda,,,,,
2025-10-17T17:37:00,whole milk,curd,rolls/buns,pastry,pasta,margarine,,
2025-10-17T17:38:00,whole milk,butter,whipped/sour cream,condensed milk,soft cheese,hard cheese,processed cheese,frozen vegetables
2025-10-17T17:39:00,soda,,,,,,,
2025-10-17T17:40:00,margarine,,,,,,,
2025-10-17T17:41:00,pip fruit,,,,,,,
2025-10-17T17:42:00,other vegetables,packaged fruit/vegetables,frozen dessert,rolls/buns,soda,,,
2025-10-17T17:43:00,whole milk,margarine,potted plants,,,,,
2025-10-17T17:44:00,pork,tropical fruit,whole milk,rolls/buns,margarine,,,
2025-10-17T17:45:00,sausage,meat,turkey,citrus fruit,tropical fruit,pip fruit,root vegetables,onions
2025-10-17T17:46:00,curd,yogurt,frozen vegetables,,,,,
2025-10-17T17:47:00,canned beer,,,,,,,
2025-10-17T17:48:00,napkins,,,,,,,
2025-10-17T17:49:00,chewing gum,,,,,,,
2025-10-17T17:50:00,ice cream,,,,,,,
2025-10-17T17:51:00,bottled water,,,,,,,
2025-10-17T17:52:00,liver loaf,pork,citrus fruit,tropical fruit,root vegetables,other vegetables,whole milk,curd
2025-10-17T17:53:00,citrus fruit,tropical fruit,root vegetables,herbs,other vegetables,whole milk,yogurt,bottled water
2025-10-17T17:54:00,chicken,citrus fruit,yogurt,whipped/sour cream,spread cheese,margarine,softener,
2025-10-17T17:55:00,citrus fruit,whole milk,sliced cheese,rolls/buns,pastry,roll products,coffee,bottled water
2025-10-17T17:56:00,bottled water,liquor (appetizer),specialty bar,,,,,
2025-10-17T17:57:00,pip fruit,berries,root vegetables,other vegetables,whole milk,whipped/sour cream,,
2025-10-17T17:58:00,whole milk,curd,yogurt,frozen vegetables,margarine,ketchup,cereals,canned fish
2025-10-17T17:59:00,hamburger meat,whole milk,curd,dessert,,,,
2025-10-17T18:00:00,turkey,hamburger meat,root vegetables,other vegetables,whole milk,yogurt,hard cheese,cereals
2025-10-17T18:01:00,ham,beef,tropical fruit,pip fruit,other vegetables,whole milk,dessert,yogurt
2025-10-17T18:02:00,citrus fruit,pip fruit,other vegetables,canned vegetables,,,,
2025-10-17T18:03:00,sausage,other vegetables,dessert,domestic eggs,pastry,napkins,,
2025-10-17T18:04:00,yogurt,,,,,,,
2025-10-17T18:05:00,butter,,,,,,,
2025-10-17T18:06:00,chicken,hamburger meat,whole milk,rolls/buns,flour,margarine,coffee,canned beer
2025-10-17T18:07:00,beverages,rolls/buns,long life bakery product,shopping bags,,,,
2025-10-17T18:08:00,onions,bottled water,soda,canned beer,chewing gum,male cosmetics,napkins,cling film/bags
2025-10-17T18:09:00,bottled beer,,,,,,,
2025-10-17T18:10:00,butter,pastry,semi-finished bread,white wine,detergent,,,
2025-10-17T18:11:00,root vegetables,butter,potted plants,,,,,
2025-10-17T18:12:00,sausage,ham,meat,pork,tropical fruit,pip fruit,grapes,other vegetables
2025-10-17T18:13:00,ham,whole milk,spread cheese,rolls/buns,waffles,newspapers,,
2025-10-17T18:14:00,soda,canned beer,,,,,,
2025-10-17T18:15:00,chicken,tropical fruit,whole milk,pastry,soda,long life bakery product,waffles,chocolate
2025-10-17T18:16:00,sausage,pip fruit,whole milk,rolls/buns,flour,oil,soda,
2025-10-17T18:17:00,other vegetables,soda,,,,,,
2025-10-17T18:18:00,whole milk,bottled beer,,,,,,
2025-10-17T18:19:00,root vegetables,,,,,,,
2025-10-17T18:20:00,chicken,other vegetables,whole milk,,,,,
2025-10-17T18:21:00,tropical fruit,pip fruit,whole milk,curd,yogurt,frozen vegetables,frozen meals,white bread
2025-10-17T18:22:00,pork,root vegetables,brown bread,soda,bottled beer,,,
2025-10-17T18:23:00,tropical fruit,pip fruit,root vegetables,whole milk,yogurt,beverages,domestic eggs,white bread
2025-10-17T18:24:00,chicken,napkins,,,,,,
2025-10-17T18:25:00,other vegetables,curd,pastry,Instant food products,salty snack,cake bar,chewing gum,napkins
2025-10-17T18:26:00,whipped/sour cream,female sanitary products,,,,,,
2025-10-17T18:27:00,whole milk,whipped/sour cream,,,,,,
2025-10-17T18:28:00,root vegetables,other vegetables,whole milk,bottled water,bottled beer,,,
2025-10-17T18:29:00,sausage,berries,whole milk,yogurt,domestic eggs,,,
2025-10-17T18:30:00,frozen vegetables,,,,,,,
2025-10-17T18:31:00,beef,whole milk,butter,rolls/buns,cat food,bottled beer,,
2025-10-17T18:32:00,root vegetables,whole milk,yogurt,,,,,
2025-10-17T18:33:00,rolls/buns,brown bread,bottled water,,,,,
2025-10-17T18:34:00,canned beer,specialty chocolate,,,,,,
2025-10-17T18:35:00,sweet spreads,coffee,chocolate,seasonal products,,,,
2025-10-17T18:36:00,beef,potted plants,,,,,,
2025-10-17T18:37:00,frozen vegetables,frozen meals,,,,,,
2025-10-17T18:38:00,bottled water,specialty chocolate,,,,,,
2025-10-17T18:39:00,domestic eggs,,,,,,,
2025-10-17T18:40:00,ice cream,sugar,napkins,dishes,,,,
2025-10-17T18:41:00,ice cream,roll products,Instant food products,coffee,candles,,,
2025-10-17T18:42:00,butter,whipped/sour cream,brown bread,pastry,canned vegetables,fruit/vegetable juice,long life bakery product,
2025-10-17T18:43:00,sausage,,,,,,,
2025-10-17T18:44:00,ham,tropical fruit,specialty cheese,long life bakery product,hygiene articles,newspapers,,
2025-10-17T18:45:00,citrus fruit,pip fruit,other vegetables,whole milk,butter,cream cheese,domestic eggs,vinegar
2025-10-17T18:46:00,red/blush wine,,,,,,,
2025-10-17T18:47:00,butter,margarine,,,,,,
2025-10-17T18:48:00,whole milk,bottled water,fruit/vegetable juice,,,,,
2025-10-17T18:49:00,hard cheese,newspapers,,,,,,
2025-10-17T18:50:00,hygiene articles,,,,,,,
2025-10-17T18:51:00,soups,soda,shopping bags,,,,,
2025-10-17T18:52:00,pastry,soda,,,,,,
2025-10-17T18:53:00,onions,rolls/buns,,,,,,
2025-10-17T18:54:00,ice cream,soda,fruit/vegetable juice,,,,,
2025-10-17T18:55:00,herbs,,,,,,,
2025-10-17T18:56:00,citrus fruit,pip fruit,curd,artif. sweetener,dog food,coffee,,
2025-10-17T18:57:00,white bread,soda,bottled beer,,,,,
2025-10-17T18:58:00,pip fruit,root vegetables,sugar,coffee,bottled beer,,,
2025-10-17T18:59:00,misc. beverages,cake bar,,,,,,
2025-10-17T19:00:00,ice cream,soda,bottled beer,salty snack,,,,
2025-10-17T19:01:00,potted plants,,,,,,,
2025-10-17T19:02:00,beef,tropical fruit,frozen vegetables,pickled vegetables,bottled water,soda,,
2025-10-17T19:03:00,canned beer,,,,,,,
2025-10-17T19:04:00,cat food,chocolate,specialty chocolate,,,,,
2025-10-17T19:05:00,whipped/sour cream,,,,,,,
2025-10-17T19:06:00,shopping bags,,,,,,,
2025-10-17T19:07:00,berries,other vegetables,yogurt,,,,,
2025-10-17T19:08:00,whole milk,potted plants,,,,,,
2025-10-17T19:09:00,root vegetables,domestic eggs,,,,,,
2025-10-17T19:10:00,pork,pip fruit,other vegetables,whole milk,yogurt,ketchup,pickled vegetables,soda
2025-10-17T19:11:00,sausage,pork,fish,citrus fruit,berries,whipped/sour cream,soda,fruit/vegetable juice
2025-10-17T19:12:00,bottled water,,,,,,,
2025-10-17T19:13:00,ice cream,bottled water,,,,,,
2025-10-17T19:14:00,berries,root vegetables,whole milk,dessert,yogurt,whipped/sour cream,cream cheese,semi-finished bread
2025-10-17T19:15:00,bottled beer,shopping bags,,,,,,
2025-10-17T19:16:00,pork,berries,whole milk,dessert,whipped/sour cream,fruit/vegetable juice,candy,
2025-10-17T19:17:00,ice cream,soda,specialty chocolate,,,,,
2025-10-17T19:18:00,curd,yogurt,waffles,,,,,
2025-10-17T19:19:00,sausage,dessert,soda,,,,,
2025-10-17T19:20:00,rolls/buns,vinegar,bottled beer,,,,,
2025-10-17T19:21:00,other vegetables,domestic eggs,soda,,,,,
2025-10-17T19:22:00,other vegetables,pastry,,,,,,
2025-10-17T19:23:00,root vegetables,canned vegetables,soda,shopping bags,,,,
2025-10-17T19:24:00,other vegetables,whole milk,butter,yogurt,cream cheese,vinegar,pet care,fruit/vegetable juice
2025-10-17T19:25:00,pastry,salty snack,,,,,,
2025-10-17T19:26:00,other vegetables,brown bread,soda,,,,,
2025-10-17T19:27:00,other vegetables,frozen vegetables,pastry,specialty bar,,,,
2025-10-17T19:28:00,citrus fruit,tropical fruit,whole milk,domestic eggs,pastry,bottled water,salty snack,
2025-10-17T19:29:00,white bread,,,,,,,
2025-10-17T19:30:00,citrus fruit,berries,onions,other vegetables,condensed milk,soft cheese,oil,pickled vegetables
2025-10-17T19:31:00,whole milk,,,,,,,
2025-10-17T19:32:00,chocolate,potted plants,,,,,,
2025-10-17T19:33:00,citrus fruit,other vegetables,frozen meals,rice,canned beer,salty snack,,
2025-10-17T19:34:00,other vegetables,yogurt,fruit/vegetable juice,shopping bags,,,,
2025-10-17T19:35:00,sausage,chicken,beef,pip fruit,root vegetables,onions,yogurt,soft cheese
2025-10-17T19:36:00,root vegetables,frozen meals,white bread,snack products,hygiene articles,,,
2025-10-17T19:37:00,sausage,chicken,pip fruit,berries,other vegetables,dessert,yogurt,frozen vegetables
2025-10-17T19:38:00,pip fruit,vinegar,bottled water,shopping bags,,,,
2025-10-17T19:39:00,tropical fruit,berries,yogurt,domestic eggs,brown bread,soda,candy,
2025-10-17T19:40:00,pork,other vegetables,whipped/sour cream,,,,,
2025-10-17T19:41:00,whole milk,yogurt,cream cheese,oil,pickled vegetables,cat food,misc. beverages,long life bakery product
2025-10-17T19:42:00,mustard,soda,fruit/vegetable juice,,,,,
2025-10-17T19:43:00,citrus fruit,white bread,ketchup,fruit/vegetable juice,bottled beer,salty snack,popcorn,shopping bags
2025-10-17T19:44:00,whole milk,margarine,bottled water,,,,,
2025-10-17T19:45:00,root vegetables,curd,dessert,whipped/sour cream,pastry,sauces,coffee,soda
2025-10-17T19:46:00,citrus fruit,tropical fruit,other vegetables,,,,,
2025-10-17T19:47:00,UHT-milk,,,,,,,
2025-10-17T19:48:00,soda,,,,,,,
2025-10-17T19:49:00,tropical fruit,bottled beer,,,,,,
2025-10-17T19:50:00,shopping bags,,,,,,,
2025-10-17T19:51:00,bottled beer,,,,,,,
2025-10-17T19:52:00,beef,grapes,fruit/vegetable juice,,,,,
2025-10-17T19:53:00,pip fruit,sugar,,,,,,
2025-10-17T19:54:00,root vegetables,onions,other vegetables,yogurt,frozen meals,vinegar,canned vegetables,soda
2025-10-17T19:55:00,chicken,beef,citrus fruit,whole milk,cream cheese,domestic eggs,rolls/buns,canned beer
2025-10-17T19:56:00,bottled water,,,,,,,
2025-10-17T19:57:00,flour,,,,,,,
2025-10-17T19:58:00,pip fruit,domestic eggs,,,,,,
2025-10-17T19:59:00,whole milk,pastry,fruit/vegetable juice,canned beer,specialty chocolate,,,
2025-10-17T20:00:00,frankfurter,whole milk,bottled water,specialty chocolate,candy,,,
2025-10-17T20:01:00,canned beer,,,,,,,
2025-10-17T20:02:00,whole milk,cream cheese,oil,bottled water,fruit/vegetable juice,potted plants,,
2025-10-17T20:03:00,canned beer,,,,,,,
2025-10-17T20:04:00,butter milk,specialty chocolate,,,,,,
2025-10-17T20:05:00,margarine,,,,,,,
2025-10-17T20:06:00,whole milk,,,,,,,
2025-10-17T20:07:00,whole milk,ice cream,pastry,coffee,shopping bags,,,
2025-10-17T20:08:00,canned beer,liquor,,,,,,
2025-10-17T20:09:00,salty snack,,,,,,,
2025-10-17T20:10:00,root vegetables,onions,whipped/sour cream,UHT-milk,frozen dessert,margarine,syrup,
2025-10-17T20:11:00,sausage,citrus fruit,other vegetables,dessert,yogurt,whipped/sour cream,hard cheese,curd cheese
2025-10-17T20:12:00,brown bread,,,,,,,
2025-10-17T20:13:00,other vegetables,dessert,waffles,light bulbs,,,,
2025-10-17T20:14:00,sausage,ham,chicken,other vegetables,whole milk,butter,whipped/sour cream,cream cheese
2025-10-17T20:15:00,ham,other vegetables,whole milk,frozen vegetables,,,,
2025-10-17T20:16:00,domestic eggs,cat food,bottled water,,,,,
2025-10-17T20:17:00,sausage,pip fruit,onions,spices,cat food,bottled beer,newspapers,
2025-10-17T20:18:00,root vegetables,yogurt,fruit/vegetable juice,,,,,
2025-10-17T20:19:00,other vegetables,yogurt,,,,,,
2025-10-17T20:20:00,citrus fruit,whole milk,specialty bar,dish cleaner,cling film/bags,,,
2025-10-17T20:21:00,pork,frozen potato products,soda,,,,,
2025-10-17T20:22:00,onions,dessert,yogurt,domestic eggs,rolls/buns,brown bread,pastry,cat food
2025-10-17T20:23:00,other vegetables,whole milk,yogurt,spices,,,,
2025-10-17T20:24:00,chicken,pork,beef,berries,sliced cheese,jam,shopping bags,
2025-10-17T20:25:00,pip fruit,margarine,,,,,,
2025-10-17T20:26:00,berries,chewing gum,seasonal products,newspapers,,,,
2025-10-17T20:27:00,whole milk,specialty bar,,,,,,
2025-10-17T20:28:00,chicken,canned beer,shopping bags,,,,,
2025-10-17T20:29:00,pork,onions,pastry,potato products,bottled water,,,
2025-10-17T20:30:00,whole milk,specialty fat,soda,,,,,
2025-10-17T20:31:00,pork,tropical fruit,berries,whole milk,yogurt,white bread,oil,
2025-10-17T20:32:00,cat food,chocolate,,,,,,
2025-10-17T20:33:00,finished products,citrus fruit,yogurt,pastry,soda,waffles,shopping bags,
2025-10-17T20:34:00,brown bread,margarine,long life bakery product,flower (seeds),,,,
2025-10-17T20:35:00,berries,dessert,whipped/sour cream,bottled water,soda,fruit/vegetable juice,white wine,
2025-10-17T20:36:00,ham,whole milk,domestic eggs,pastry,oil,baking powder,chewing gum,chocolate marshmallow
2025-10-17T20:37:00,fish,brown bread,pet care,napkins,,,,
2025-10-17T20:38:00,pastry,canned beer,shopping bags,,,,,
2025-10-17T20:39:00,sausage,pastry,,,,,,
2025-10-17T20:40:00,whole milk,yogurt,spread cheese,semi-finished bread,baking powder,soda,cake bar,chocolate
2025-10-17T20:41:00,bottled beer,,,,,,,
2025-10-17T20:42:00,whole milk,brown bread,,,,,,
2025-10-17T20:43:00,sausage,root vegetables,white bread,roll products,semi-finished bread,soda,napkins,
2025-10-17T20:44:00,soda,chocolate,chocolate marshmallow,,,,,
2025-10-17T20:45:00,ham,whole milk,dessert,processed cheese,bottled water,soda,fruit/vegetable juice,chocolate
2025-10-17T20:46:00,bottled beer,canned beer,,,,,,
2025-10-17T20:47:00,sausage,ham,whole milk,dessert,margarine,baking powder,bottled water,
2025-10-17T20:48:00,sausage,chicken,other vegetables,whole milk,yogurt,cream cheese,brown bread,soda
2025-10-17T20:49:00,sausage,root vegetables,other vegetables,dessert,yogurt,whipped/sour cream,sliced cheese,domestic eggs
2025-10-17T20:50:00,sausage,rolls/buns,white wine,,,,,
2025-10-17T20:51:00,pork,,,,,,,
2025-10-17T20:52:00,root vegetables,yogurt,beverages,domestic eggs,white bread,cat food,,
2025-10-17T20:53:00,citrus fruit,whole milk,baking powder,cocoa drinks,skin care,shopping bags,,
2025-10-17T20:54:00,other vegetables,,,,,,,
2025-10-17T20:55:00,whole milk,soda,,,,,,
2025-10-17T20:56:00,yogurt,ice cream,white bread,sweet spreads,shopping bags,,,
2025-10-17T20:57:00,UHT-milk,mayonnaise,rolls/buns,pickled vegetables,soda,hygiene articles,shopping bags,
2025-10-17T20:58:00,citrus fruit,tropical fruit,pip fruit,other vegetables,rolls/buns,misc. beverages,fruit/vegetable juice,
2025-10-17T20:59:00,citrus fruit,pip fruit,whole milk,bottled water,,,,
2025-10-17T21:00:00,whole milk,butter milk,whipped/sour cream,ice cream,brown bread,specialty chocolate,candy,dish cleaner
2025-10-17T21:01:00,canned beer,,,,,,,
2025-10-17T21:02:00,rolls/buns,sugar,sweet spreads,chewing gum,newspapers,,,
2025-10-17T21:03:00,sausage,rolls/buns,soda,,,,,
2025-10-17T21:04:00,frozen fish,bottled beer,,,,,,
2025-10-17T21:05:00,other vegetables,whole milk,baking powder,coffee,flower (seeds),,,
2025-10-17T21:06:00,rolls/buns,soda,,,,,,
2025-10-17T21:07:00,tropical fruit,other vegetables,whole milk,frozen vegetables,pastry,cake bar,,
2025-10-17T21:08:00,butter milk,hard cheese,,,,,,
2025-10-17T21:09:00,sausage,butter milk,soft cheese,rolls/buns,instant coffee,shopping bags,,
2025-10-17T21:10:00,pastry,soda,,,,,,
2025-10-17T21:11:00,spread cheese,fruit/vegetable juice,,,,,,
2025-10-17T21:12:00,rolls/buns,sweet spreads,canned fish,chewing gum,newspapers,,,
2025-10-17T21:13:00,frankfurter,onions,candy,detergent,,,,
2025-10-17T21:14:00,frankfurter,pip fruit,newspapers,,,,,
2025-10-17T21:15:00,condensed milk,pastry,coffee,soda,red/blush wine,salty snack,nut snack,long life bakery product
2025-10-17T21:16:00,rolls/buns,canned beer,,,,,,
2025-10-17T21:17:00,frankfurter,whole milk,brown bread,cake bar,specialty bar,shopping bags,,
2025-10-17T21:18:00,rolls/buns,bottled beer,,,,,,
2025-10-17T21:19:00,rolls/buns,white bread,dish cleaner,shopping bags,,,,
2025-10-17T21:20:00,other vegetables,whole milk,soda,chocolate,,,,
2025-10-17T21:21:00,sausage,tropical fruit,other vegetables,whole milk,yogurt,coffee,shopping bags,
2025-10-17T21:22:00,coffee,,,,,,,
2025-10-17T21:23:00,pip fruit,other vegetables,whole milk,yogurt,beverages,frozen potato products,rolls/buns,fruit/vegetable juice
2025-10-17T21:24:00,citrus fruit,pip fruit,,,,,,
2025-10-17T21:25:00,flour,bottled water,chocolate,specialty chocolate,,,,
2025-10-17T21:26:00,frankfurter,rolls/buns,,,,,,
2025-10-17T21:27:00,soda,,,,,,,
2025-10-17T21:28:00,soda,,,,,,,
2025-10-17T21:29:00,root vegetables,,,,,,,
2025-10-17T21:30:00,pork,whole milk,rolls/buns,artif. sweetener,baking powder,specialty chocolate,house keeping products,newspapers
2025-10-17T21:31:00,frozen vegetables,rolls/buns,pastry,,,,,
2025-10-17T21:32:00,tropical fruit,other vegetables,whole milk,frozen meals,,,,
2025-10-17T21:33:00,citrus fruit,whole milk,whipped/sour cream,rolls/buns,pastry,,,
2025-10-17T21:34:00,frankfurter,beef,other vegetables,rolls/buns,,,,
2025-10-17T21:35:00,other vegetables,whole milk,rolls/buns,vinegar,margarine,soda,waffles,
2025-10-17T21:36:00,sweet spreads,cat food,,,,,,
2025-10-17T21:37:00,frankfurter,sausage,other vegetables,domestic eggs,ketchup,canned fish,soda,long life bakery product
2025-10-17T21:38:00,pork,beef,other vegetables,hard cheese,cream cheese,rolls/buns,brown bread,napkins
2025-10-17T21:39:00,sausage,ham,finished products,frozen meals,salty snack,long life bakery product,waffles,shopping bags
2025-10-17T21:40:00,pip fruit,soda,,,,,,
2025-10-17T21:41:00,bottled beer,canned beer,,,,,,
2025-10-17T21:42:00,beverages,,,,,,,
2025-10-17T21:43:00,liver loaf,whole milk,yogurt,,,,,
2025-10-17T21:44:00,frankfurter,onions,soft cheese,white bread,pastry,salt,chocolate,newspapers
2025-10-17T21:45:00,berries,onions,whipped/sour cream,brown bread,pasta,liquor,dishes,
2025-10-17T21:46:00,curd,tidbits,soda,,,,,
2025-10-17T21:47:00,sausage,whole milk,bottled beer,,,,,
2025-10-17T21:48:00,onions,whole milk,curd,yogurt,hard cheese,domestic eggs,bottled water,cleaner
2025-10-17T21:49:00,soda,,,,,,,
2025-10-17T21:50:00,soda,bottled beer,,,,,,
2025-10-17T21:51:00,chicken,citrus fruit,yogurt,UHT-milk,soft cheese,rolls/buns,margarine,mustard
2025-10-17T21:52:00,cream cheese,,,,,,,
2025-10-17T21:53:00,bottled water,fruit/vegetable juice,,,,,,
2025-10-17T21:54:00,chocolate,,,,,,,
2025-10-17T21:55:00,cream cheese,white bread,sweet spreads,cat food,coffee,syrup,specialty bar,
2025-10-17T21:56:00,whole milk,soda,canned beer,liquor (appetizer),newspapers,,,
2025-10-17T21:57:00,whole milk,domestic eggs,rolls/buns,brown bread,specialty chocolate,shopping bags,,
2025-10-17T21:58:00,fruit/vegetable juice,,,,,,,
2025-10-17T21:59:00,onions,spread cheese,,,,,,
2025-10-17T22:00:00,tropical fruit,other vegetables,yogurt,mayonnaise,mustard,newspapers,,
2025-10-17T22:01:00,tropical fruit,grapes,other vegetables,bottled beer,popcorn,,,
2025-10-17T22:02:00,pastry,,,,,,,
2025-10-17T22:03:00,hamburger meat,semi-finished bread,Instant food products,,,,,
2025-10-17T22:04:00,frankfurter,,,,,,,
2025-10-17T22:05:00,tropical fruit,other vegetables,whole milk,curd,frozen dessert,rolls/buns,margarine,jam
2025-10-17T22:06:00,butter,,,,,,,
2025-10-17T22:07:00,rolls/buns,misc. beverages,,,,,,
2025-10-17T22:08:00,sausage,beef,other vegetables,frozen fish,domestic eggs,roll products,margarine,sugar
2025-10-17T22:09:00,citrus fruit,tropical fruit,pip fruit,grapes,onions,other vegetables,sliced cheese,cream cheese
2025-10-17T22:10:00,tropical fruit,other vegetables,,,,,,
2025-10-17T22:11:00,pork,beef,root vegetables,whole milk,pasta,margarine,jam,bottled water
2025-10-17T22:12:00,whole milk,,,,,,,
2025-10-17T22:13:00,hamburger meat,rolls/buns,,,,,,
2025-10-17T22:14:00,frankfurter,frozen potato products,,,,,,
2025-10-17T22:15:00,sausage,beef,citrus fruit,sweet spreads,coffee,,,
2025-10-17T22:16:00,other vegetables,bottled beer,,,,,,
2025-10-17T22:17:00,ham,onions,other vegetables,brown bread,margarine,,,
2025-10-17T22:18:00,bottled beer,,,,,,,
2025-10-17T22:19:00,pip fruit,soda,cake bar,specialty chocolate,,,,
2025-10-17T22:20:00,pasta,vinegar,soda,fruit/vegetable juice,sparkling wine,napkins,,
2025-10-17T22:21:00,pip fruit,nuts/prunes,curd,frozen dessert,sweet spreads,light bulbs,,
2025-10-17T22:22:00,pork,dessert,soda,shopping bags,,,,
2025-10-17T22:23:00,frankfurter,sausage,other vegetables,hard cheese,rolls/buns,,,
2025-10-17T22:24:00,rolls/buns,rum,,,,,,
2025-10-17T22:25:00,sausage,meat,other vegetables,curd,sliced cheese,domestic eggs,rolls/buns,pastry
2025-10-17T22:26:00,tropical fruit,cream cheese,chocolate,,,,,
2025-10-17T22:27:00,chicken,hamburger meat,other vegetables,,,,,
2025-10-17T22:28:00,whole milk,yogurt,,,,,,
2025-10-17T22:29:00,ham,,,,,,,
2025-10-17T22:30:00,soda,,,,,,,
2025-10-17T22:31:00,chicken,hamburger meat,other vegetables,,,,,
2025-10-17T22:32:00,canned beer,,,,,,,
2025-10-17T22:33:00,pip fruit,pastry,,,,,,
2025-10-17T22:34:00,tropical fruit,pip fruit,whole milk,cream cheese,frozen dessert,rolls/buns,bottled water,waffles
2025-10-17T22:35:00,domestic eggs,rolls/buns,,,,,,
2025-10-17T22:36:00,meat,pork,tropical fruit,whole milk,curd,rolls/buns,cat food,bottled water
2025-10-17T22:37:00,citrus fruit,male cosmetics,,,,,,
2025-10-17T22:38:00,sausage,citrus fruit,pip fruit,root vegetables,herbs,other vegetables,curd,yogurt
2025-10-17T22:39:00,rolls/buns,tea,,,,,,
2025-10-17T22:40:00,light bulbs,,,,,,,
2025-10-17T22:41:00,rolls/buns,newspapers,,,,,,
2025-10-17T22:42:00,meat,tropical fruit,beverages,sweet spreads,shopping bags,,,
2025-10-17T22:43:00,root vegetables,herbs,frozen vegetables,bottled water,shopping bags,,,
2025-10-17T22:44:00,tropical fruit,zwieback,bottled water,,,,,
2025-10-17T22:45:00,citrus fruit,tropical fruit,pip fruit,berries,bottled water,soda,red/blush wine,
2025-10-17T22:46:00,whole milk,beverages,frozen meals,frozen dessert,,,,
2025-10-17T22:47:00,margarine,napkins,,,,,,
2025-10-17T22:48:00,hamburger meat,whole milk,ice cream,domestic eggs,white bread,pastry,margarine,sweet spreads
2025-10-17T22:49:00,dessert,rolls/buns,bottled water,specialty bar,,,,
2025-10-17T22:50:00,beef,whipped/sour cream,napkins,,,,,
2025-10-17T22:51:00,other vegetables,beverages,domestic eggs,brown bread,pastry,soda,newspapers,
2025-10-17T22:52:00,tropical fruit,other vegetables,whole milk,mustard,bottled water,,,
2025-10-17T22:53:00,chicken,beef,citrus fruit,tropical fruit,pip fruit,root vegetables,other vegetables,whole milk
2025-10-17T22:54:00,brown bread,fruit/vegetable juice,newspapers,shopping bags,,,,
2025-10-17T22:55:00,sausage,hamburger meat,whole milk,pastry,shopping bags,,,
2025-10-17T22:56:00,hamburger meat,whole milk,curd,rolls/buns,Instant food products,hygiene articles,napkins,
2025-10-17T22:57:00,pork,root vegetables,onions,other vegetables,yogurt,domestic eggs,,
2025-10-17T22:58:00,sausage,citrus fruit,tropical fruit,pip fruit,flour,baking powder,,
2025-10-17T22:59:00,soda,,,,,,,
2025-10-17T23:00:00,sweet spreads,soda,waffles,,,,,
2025-10-17T23:01:00,pastry,instant coffee,,,,,,
2025-10-17T23:02:00,other vegetables,whole milk,pastry,flour,margarine,canned fish,long life bakery product,chocolate
2025-10-17T23:03:00,root vegetables,whole milk,yogurt,jam,bottled water,soda,bottled beer,specialty chocolate
2025-10-17T23:04:00,whipped/sour cream,pastry,canned fish,soda,waffles,dish cleaner,napkins,
2025-10-17T23:05:00,whole milk,hard cheese,coffee,,,,,
2025-10-17T23:06:00,whole milk,whipped/sour cream,specialty cheese,domestic eggs,dog food,soda,chewing gum,
2025-10-17T23:07:00,citrus fruit,whole milk,butter,pastry,semi-finished bread,coffee,candy,newspapers
2025-10-17T23:08:00,other vegetables,whipped/sour cream,,,,,,
2025-10-17T23:09:00,pork,root vegetables,sliced cheese,frozen vegetables,frozen potato products,mustard,bottled water,fruit/vegetable juice
2025-10-17T23:10:00,pip fruit,onions,whole milk,,,,,
2025-10-17T23:11:00,bottled beer,,,,,,,
2025-10-17T23:12:00,other vegetables,,,,,,,
2025-10-17T23:13:00,whole milk,curd,yogurt,whipped/sour cream,canned vegetables,soda,shopping bags,
2025-10-17T23:14:00,pastry,soda,,,,,,
2025-10-17T23:15:00,sausage,brown bread,meat spreads,canned fish,,,,
2025-10-17T23:16:00,sausage,liver loaf,specialty cheese,soda,,,,
2025-10-17T23:17:00,salty snack,,,,,,,
2025-10-17T23:18:00,dessert,,,,,,,
2025-10-17T23:19:00,pork,hamburger meat,herbs,yogurt,hard cheese,brown bread,sweet spreads,soda
2025-10-17T23:20:00,frankfurter,sausage,tropical fruit,whole milk,frozen fish,white wine,chewing gum,newspapers
2025-10-17T23:21:00,butter,,,,,,,
2025-10-17T23:22:00,other vegetables,white bread,margarine,canned beer,rum,,,
2025-10-17T23:23:00,liver loaf,rolls/buns,soda,,,,,
2025-10-17T23:24:00,frankfurter,sausage,hard cheese,soda,nut snack,shopping bags,,
2025-10-17T23:25:00,whole milk,curd,butter milk,beverages,tidbits,long life bakery product,waffles,dental care
2025-10-17T23:26:00,frankfurter,chicken,brown bread,oil,,,,
2025-10-17T23:27:00,root vegetables,bottled water,bottled beer,,,,,
2025-10-17T23:28:00,soda,,,,,,,
2025-10-17T23:29:00,butter,yogurt,whipped/sour cream,,,,,
2025-10-17T23:30:00,cat food,bottled water,white wine,shopping bags,,,,
2025-10-17T23:31:00,chewing gum,,,,,,,
2025-10-17T23:32:00,berries,root vegetables,whole milk,whipped/sour cream,shopping bags,,,
2025-10-17T23:33:00,other vegetables,,,,,,,
2025-10-17T23:34:00,yogurt,rolls/buns,,,,,,
2025-10-17T23:35:00,tropical fruit,other vegetables,whole milk,fruit/vegetable juice,long life bakery product,shopping bags,,
2025-10-17T23:36:00,whole milk,,,,,,,
2025-10-17T23:37:00,curd,canned beer,waffles,candy,,,,
2025-10-17T23:38:00,whole milk,butter,hard cheese,white wine,,,,
2025-10-17T23:39:00,bottled water,,,,,,,
